generation,best_distance
1,1379.6733
2,1317.0154
3,1307.9341
4,1224.5335
5,1208.5955
6,1208.5955
7,1208.5955
8,1196.0329
9,1169.5552
10,1116.0897
11,1087.3064
12,1076.1810
13,1053.3022
14,989.4517
15,989.4517
16,989.4517
17,989.4517
18,976.0193
19,948.1968
20,948.1968
21,941.1900
22,933.9782
23,917.1351
24,917.1351
25,900.7022
26,900.7022
27,900.7022
28,866.9203
29,866.9203
30,856.3287
31,856.3287
32,842.2821
33,842.2821
34,842.1031
35,824.0369
36,814.0926
37,814.0926
38,802.7674
39,788.0797
40,770.1642
41,770.1642
42,768.3512
43,763.5952
44,763.5952
45,763.5952
46,751.4337
47,749.1943
48,749.1943
49,749.1943
50,749.1943
51,749.1943
52,738.7397
53,718.7142
54,718.7142
55,718.7142
56,718.7142
57,718.7142
58,718.7142
59,714.7030
60,714.7030
61,691.7435
62,691.7435
63,691.7435
64,691.7435
65,691.7435
66,685.1624
67,685.1624
68,685.1624
69,685.1624
70,685.1624
71,680.3682
72,674.8117
73,670.1153
74,670.1153
75,670.1153
76,665.2738
77,665.2738
78,665.2738
79,665.2738
80,665.2738
81,665.2738
82,665.2738
83,665.2738
84,665.2738
85,665.2738
86,665.2738
87,663.8150
88,663.8150
89,663.8150
90,663.8150
91,663.5375
92,646.6285
93,639.2669
94,639.2669
95,634.5288
96,634.5288
97,634.4172
98,634.4172
99,634.4172
100,627.1358
101,627.1358
102,617.5480
103,615.9053
104,612.7565
105,612.7565
106,611.4361
107,611.4361
108,611.4361
109,610.1489
110,610.1489
111,606.6445
112,606.6445
113,595.5273
114,595.5273
115,595.5273
116,582.8682
117,582.8682
118,582.8682
119,582.8682
120,582.7441
121,582.7441
122,575.1455
123,575.1455
124,575.1455
125,575.1455
126,567.5871
127,567.5871
128,567.5871
129,567.5871
130,567.5871
131,567.5871
132,565.8861
133,565.8861
134,565.8861
135,564.7603
136,562.7322
137,559.1977
138,558.7881
139,558.7881
140,551.0653
141,549.2590
142,540.8696
143,540.8696
144,532.0706
145,532.0706
146,532.0706
147,527.3097
148,527.3097
149,525.6575
150,520.5502
151,520.5502
152,520.5502
153,520.5502
154,520.5502
155,520.5502
156,520.5502
157,520.5502
158,518.6450
159,518.6450
160,518.6450
161,515.9711
162,512.9820
163,508.4028
164,508.4028
165,508.4028
166,508.4028
167,508.4028
168,500.9135
169,500.9135
170,500.9135
171,500.9135
172,500.9135
173,498.4278
174,498.4278
175,498.4278
176,498.4278
177,495.0486
178,495.0486
179,495.0486
180,495.0486
181,495.0486
182,488.2196
183,488.2196
184,488.2196
185,484.9490
186,484.9490
187,484.9490
188,484.9490
189,481.9924
190,481.9924
191,481.9924
192,481.9924
193,481.9924
194,481.9924
195,481.9924
196,481.9924
197,481.9924
198,481.9924
199,476.7507
200,476.7507
201,476.7507
202,476.3033
203,476.3033
204,476.3033
205,476.3033
206,475.9261
207,475.9261
208,475.9261
209,475.9261
210,475.4787
211,475.4787
212,474.8466
213,474.0220
214,474.0220
215,474.0220
216,474.0220
217,474.0220
218,474.0220
219,474.0220
220,474.0220
221,474.0220
222,474.0220
223,474.0220
224,474.0220
225,474.0220
226,474.0220
227,474.0220
228,474.0220
229,474.0220
230,474.0220
231,474.0220
232,474.0220
233,474.0220
234,474.0220
235,474.0220
236,474.0220
237,474.0220
238,474.0220
239,474.0220
240,474.0220
241,474.0220
242,474.0220
243,474.0220
244,474.0220
245,474.0220
246,474.0220
247,474.0220
248,474.0220
249,474.0220
250,474.0220
251,474.0220
252,474.0220
253,474.0220
254,474.0220
255,474.0220
256,474.0220
257,474.0220
258,474.0220
259,474.0220
260,474.0220
261,474.0220
262,474.0220
263,474.0220
264,474.0220
265,474.0220
266,474.0220
267,474.0220
268,474.0220
269,474.0220
270,474.0220
271,474.0220
272,473.7044
273,473.7044
274,473.7044
275,473.7044
276,473.7044
277,473.7044
278,473.7044
279,473.7044
280,473.7044
281,473.7044
282,470.4463
283,470.4463
284,470.4463
285,470.4463
286,470.4463
287,470.4463
288,470.4463
289,470.4463
290,470.4463
291,470.4463
292,470.4463
293,470.4463
294,470.4463
295,470.4463
296,470.4463
297,470.4463
298,470.4463
299,470.4463
300,470.4463
301,470.4463
302,470.4463
303,470.4463
304,470.4463
305,470.4463
306,470.4463
307,470.4463
308,470.4463
309,470.4463
310,470.4463
311,470.4463
312,470.4463
313,470.4463
314,470.4463
315,470.4463
316,470.4463
317,470.4463
318,470.4463
319,470.4463
320,470.4463
321,470.4463
322,470.4463
323,470.4463
324,470.4463
325,470.4463
326,470.4463
327,470.4463
328,470.4463
329,470.4463
330,470.4463
331,470.4463
332,470.4463
333,470.4463
334,470.4463
335,470.4463
336,470.4463
337,463.7157
338,463.7157
339,463.7157
340,463.7157
341,463.7157
342,463.7157
343,463.7157
344,463.7157
345,463.7157
346,463.7157
347,463.7157
348,463.7157
349,463.7157
350,463.7157
351,463.7157
352,463.7157
353,463.7157
354,463.7157
355,463.7157
356,463.7157
357,463.7157
358,463.7157
359,463.7157
360,463.7157
361,463.7157
362,463.7157
363,463.7157
364,463.7157
365,463.7157
366,463.7157
367,463.7157
368,463.7157
369,463.7157
370,463.7157
371,463.7157
372,463.7157
373,463.7157
374,463.7157
375,463.7157
376,463.7157
377,463.7157
378,463.7157
379,463.7157
380,463.7157
381,463.7157
382,463.7157
383,463.7157
384,463.7157
385,463.7157
386,463.7157
387,463.7157
388,463.7157
389,463.7157
390,463.7157
391,463.7157
392,463.7157
393,463.7157
394,463.7157
395,463.7157
396,463.7157
397,463.7157
398,463.7157
399,463.7157
400,463.7157
401,463.7157
402,463.7157
403,463.7157
404,463.7157
405,463.7157
406,463.7157
407,463.7157
408,463.7157
409,463.7157
410,463.7157
411,463.7157
412,463.7157
413,463.7157
414,463.7157
415,463.7157
416,463.7157
417,463.7157
418,463.7157
419,463.7157
420,463.7157
421,463.7157
422,463.7157
423,463.7157
424,463.7157
425,463.7157
426,463.7157
427,463.7157
428,463.7157
429,463.7157
430,463.7157
431,463.7157
432,463.7157
433,463.7157
434,463.7157
435,463.7157
436,463.7157
437,463.7157
438,463.7157
439,463.7157
440,463.7157
441,463.7157
442,463.7157
443,463.7157
444,463.7157
445,463.7157
446,463.7157
447,463.7157
448,463.7157
449,463.7157
450,463.7157
451,463.7157
452,463.7157
453,463.7157
454,463.7157
455,463.7157
456,463.7157
457,463.7157
458,463.7157
459,463.7157
460,463.7157
461,463.7157
462,463.7157
463,463.7157
464,463.7157
465,463.7157
466,463.7157
467,463.7157
468,463.7157
469,463.7157
470,463.7157
471,463.7157
472,463.7157
473,463.7157
474,463.7157
475,463.7157
476,463.7157
477,463.7157
478,463.7157
479,463.7157
480,463.7157
481,463.7157
482,463.7157
483,463.7157
484,463.7157
485,463.7157
486,463.7157
487,463.7157
488,463.7157
489,463.7157
490,463.7157
491,463.7157
492,463.7157
493,463.7157
494,463.7157
495,463.7157
496,463.7157
497,463.7157
498,463.7157
499,463.7157
500,463.7157
501,463.7157
502,463.7157
503,463.7157
504,463.7157
505,463.7157
506,463.7157
507,463.7157
508,463.7157
509,463.7157
510,463.7157
511,463.7157
512,463.7157
513,463.7157
514,463.7157
515,463.7157
516,463.7157
517,463.7157
518,463.7157
519,463.7157
520,463.7157
521,463.7157
522,463.7157
523,463.7157
524,463.7157
525,463.7157
526,463.7157
527,463.7157
528,463.7157
529,463.7157
530,463.7157
531,463.7157
532,463.7157
533,463.7157
534,463.7157
535,463.7157
536,463.7157
537,463.7157
538,463.7157
539,463.7157
540,463.7157
541,463.7157
542,463.7157
543,463.7157
544,463.7157
545,463.7157
546,463.7157
547,463.7157
548,463.7157
549,463.7157
550,463.7157
551,463.7157
552,463.7157
553,463.7157
554,463.7157
555,463.7157
556,463.7157
557,463.7157
558,463.7157
559,463.7157
560,463.7157
561,463.7157
562,463.7157
563,463.7157
564,463.7157
565,463.7157
566,463.7157
567,463.7157
568,463.7157
569,463.7157
570,463.7157
571,463.7157
572,463.7157
573,463.7157
574,463.7157
575,463.7157
576,463.7157
577,463.7157
578,463.7157
579,463.7157
580,463.7157
581,463.7157
582,463.7157
583,463.7157
584,463.7157
585,463.7157
586,463.7157
587,463.7157
588,463.7157
589,463.7157
590,463.7157
591,463.7157
592,463.7157
593,463.7157
594,463.7157
595,463.7157
596,463.7157
597,463.7157
598,463.7157
599,463.7157
600,463.7157
601,463.7157
602,463.7157
603,463.7157
604,463.7157
605,463.7157
606,463.7157
607,463.7157
608,463.7157
609,463.7157
610,463.7157
611,463.7157
612,463.7157
613,463.7157
614,463.7157
615,463.7157
616,463.7157
617,463.7157
618,463.7157
619,463.7157
620,463.7157
621,463.7157
622,463.7157
623,463.7157
624,463.7157
625,463.7157
626,463.7157
627,463.7157
628,463.7157
629,463.7157
630,463.7157
631,463.7157
632,463.7157
633,463.7157
634,463.7157
635,463.7157
636,463.7157
637,463.7157
638,463.7157
639,463.7157
640,463.7157
641,463.7157
642,463.7157
643,463.7157
644,463.7157
645,463.7157
646,463.7157
647,463.7157
648,463.7157
649,463.7157
650,463.7157
651,463.7157
652,463.7157
653,463.7157
654,463.7157
655,463.7157
656,463.7157
657,463.7157
658,463.7157
659,463.7157
660,463.7157
661,463.7157
662,463.7157
663,463.7157
664,463.7157
665,463.7157
666,463.7157
667,463.7157
668,463.7157
669,463.7157
670,463.7157
671,463.7157
672,463.7157
673,463.7157
674,463.7157
675,463.7157
676,463.7157
677,463.7157
678,463.7157
679,463.7157
680,463.7157
681,463.7157
682,463.7157
683,463.7157
684,463.7157
685,463.7157
686,463.7157
687,463.7157
688,463.7157
689,463.7157
690,463.7157
691,463.7157
692,463.7157
693,463.7157
694,463.7157
695,463.7157
696,463.7157
697,463.7157
698,463.7157
699,463.7157
700,463.7157
701,463.7157
702,463.7157
703,463.7157
704,463.7157
705,463.7157
706,463.7157
707,463.7157
708,463.7157
709,463.7157
710,463.7157
711,463.7157
712,463.7157
713,463.7157
714,463.7157
715,463.7157
716,463.7157
717,463.7157
718,463.7157
719,463.7157
720,463.7157
721,463.7157
722,463.7157
723,463.7157
724,463.7157
725,463.7157
726,463.7157
727,463.7157
728,463.7157
729,463.7157
730,463.7157
731,463.7157
732,463.7157
733,463.7157
734,463.7157
735,463.7157
736,463.7157
737,463.7157
738,463.7157
739,463.7157
740,463.7157
741,463.7157
742,463.7157
743,463.7157
744,463.7157
745,463.7157
746,463.7157
747,463.7157
748,463.7157
749,463.7157
750,463.7157
751,463.7157
752,463.7157
753,463.7157
754,463.7157
755,463.7157
756,463.7157
757,463.7157
758,463.7157
759,463.7157
760,463.7157
761,463.7157
762,463.7157
763,463.7157
764,463.7157
765,463.7157
766,463.7157
767,463.7157
768,463.7157
769,463.7157
770,463.7157
771,463.7157
772,463.7157
773,463.7157
774,463.7157
775,463.7157
776,463.7157
777,463.7157
778,463.7157
779,463.7157
780,463.7157
781,463.7157
782,463.7157
783,463.7157
784,463.7157
785,463.7157
786,463.7157
787,463.7157
788,463.7157
789,463.7157
790,463.7157
791,463.7157
792,463.7157
793,463.7157
794,463.7157
795,463.7157
796,463.7157
797,463.7157
798,463.7157
799,463.7157
800,463.7157
801,463.7157
802,463.7157
803,463.7157
804,463.7157
805,463.7157
806,463.7157
807,463.7157
808,463.7157
809,463.7157
810,463.7157
811,463.7157
812,463.7157
813,463.7157
814,463.7157
815,463.7157
816,463.7157
817,463.7157
818,463.7157
819,463.7157
820,463.7157
821,463.7157
822,463.7157
823,463.7157
824,463.7157
825,463.7157
826,463.7157
827,463.7157
828,463.7157
829,463.7157
830,463.7157
831,463.7157
832,463.7157
833,463.7157
834,463.7157
835,463.7157
836,463.7157
837,463.7157
838,463.7157
839,463.7157
840,463.7157
841,463.7157
842,463.7157
843,463.7157
844,463.7157
845,463.7157
846,463.7157
847,463.7157
848,463.7157
849,463.7157
850,463.7157
851,463.7157
852,463.7157
853,463.7157
854,463.7157
855,463.7157
856,463.7157
857,463.7157
858,463.7157
859,463.7157
860,463.7157
861,463.7157
862,463.7157
863,463.7157
864,463.7157
865,463.7157
866,463.7157
867,463.7157
868,463.7157
869,463.7157
870,463.7157
871,463.7157
872,463.7157
873,463.7157
874,463.7157
875,463.7157
876,463.7157
877,463.7157
878,463.7157
879,463.7157
880,463.7157
881,463.7157
882,463.7157
883,463.7157
884,463.7157
885,463.7157
886,463.7157
887,463.7157
888,463.7157
889,463.7157
890,463.7157
891,463.7157
892,463.7157
893,463.7157
894,463.7157
895,463.7157
896,463.7157
897,463.7157
898,463.7157
899,463.7157
900,463.7157
901,463.7157
902,463.7157
903,463.7157
904,463.7157
905,463.7157
906,463.7157
907,463.7157
908,463.7157
909,463.7157
910,463.7157
911,463.7157
912,463.7157
913,463.7157
914,463.7157
915,463.7157
916,463.7157
917,463.7157
918,463.7157
919,463.7157
920,463.7157
921,463.7157
922,463.7157
923,463.7157
924,463.7157
925,463.7157
926,463.7157
927,463.7157
928,463.7157
929,463.7157
930,463.7157
931,463.7157
932,463.7157
933,463.7157
934,463.7157
935,463.7157
936,463.7157
937,463.7157
938,463.7157
939,463.7157
940,463.7157
941,463.7157
942,463.7157
943,463.7157
944,463.7157
945,463.7157
946,463.7157
947,463.7157
948,463.7157
949,463.7157
950,463.7157
951,463.7157
952,463.7157
953,463.7157
954,463.7157
955,463.7157
956,463.7157
957,463.7157
958,463.7157
959,463.7157
960,463.7157
961,463.7157
962,463.7157
963,463.7157
964,463.7157
965,463.7157
966,463.7157
967,463.7157
968,463.7157
969,463.7157
970,463.7157
971,463.7157
972,463.7157
973,463.7157
974,463.7157
975,463.7157
976,463.7157
977,463.7157
978,463.7157
979,463.7157
980,463.7157
981,463.7157
982,463.7157
983,463.7157
984,463.7157
985,463.7157
986,463.7157
987,463.7157
988,463.7157
989,463.7157
990,463.7157
991,463.7157
992,463.7157
993,463.7157
994,463.7157
995,463.7157
996,463.7157
997,463.7157
998,463.7157
999,463.7157
1000,463.7157
1001,463.7157
1002,463.7157
1003,463.7157
1004,463.7157
1005,463.7157
1006,463.7157
1007,463.7157
1008,463.7157
1009,463.7157
1010,463.7157
1011,463.7157
1012,463.7157
1013,463.7157
1014,463.7157
1015,463.7157
1016,463.7157
1017,463.7157
1018,463.7157
1019,463.7157
1020,463.7157
1021,463.7157
1022,463.7157
1023,463.7157
1024,463.7157
1025,463.7157
1026,463.7157
1027,463.7157
1028,463.7157
1029,463.7157
1030,463.7157
1031,463.7157
1032,463.7157
1033,463.7157
1034,463.7157
1035,463.7157
1036,463.7157
1037,463.7157
1038,463.7157
1039,463.7157
1040,463.7157
1041,463.7157
1042,463.7157
1043,463.7157
1044,463.7157
1045,463.7157
1046,463.7157
1047,463.7157
1048,463.7157
1049,463.7157
1050,463.7157
1051,463.7157
1052,463.7157
1053,463.7157
1054,463.7157
1055,463.7157
1056,463.7157
1057,463.7157
1058,463.7157
1059,463.7157
1060,463.7157
1061,463.7157
1062,463.7157
1063,463.7157
1064,463.7157
1065,463.7157
1066,463.7157
1067,463.7157
1068,463.7157
1069,463.7157
1070,463.7157
1071,463.7157
1072,463.7157
1073,463.7157
1074,463.7157
1075,463.7157
1076,463.7157
1077,463.7157
1078,463.7157
1079,463.7157
1080,463.7157
1081,463.7157
1082,463.7157
1083,463.7157
1084,463.7157
1085,463.7157
1086,463.7157
1087,463.7157
1088,463.7157
1089,463.7157
1090,463.7157
1091,463.7157
1092,463.7157
1093,463.7157
1094,463.7157
1095,463.7157
1096,463.7157
1097,463.7157
1098,463.7157
1099,463.7157
1100,463.7157
1101,463.7157
1102,463.7157
1103,463.7157
1104,463.7157
1105,463.7157
1106,463.7157
1107,463.7157
1108,463.7157
1109,463.7157
1110,463.7157
1111,463.7157
1112,463.7157
1113,463.7157
1114,463.7157
1115,463.7157
1116,463.7157
1117,463.7157
1118,463.7157
1119,463.7157
1120,463.7157
1121,463.7157
1122,463.7157
1123,463.7157
1124,463.7157
1125,463.7157
1126,463.7157
1127,463.7157
1128,463.7157
1129,463.7157
1130,463.7157
1131,463.7157
1132,463.7157
1133,463.7157
1134,463.7157
1135,463.7157
1136,463.7157
1137,463.7157
1138,463.7157
1139,463.7157
1140,463.7157
1141,463.7157
1142,463.7157
1143,463.7157
1144,463.7157
1145,463.7157
1146,463.7157
1147,463.7157
1148,463.7157
1149,463.7157
1150,463.7157
1151,463.7157
1152,463.7157
1153,463.7157
1154,463.7157
1155,463.7157
1156,463.7157
1157,463.7157
1158,463.7157
1159,463.7157
1160,463.7157
1161,463.7157
1162,463.7157
1163,463.7157
1164,463.7157
1165,463.7157
1166,463.7157
1167,463.7157
1168,463.7157
1169,463.7157
1170,463.7157
1171,463.7157
1172,463.7157
1173,463.7157
1174,463.7157
1175,463.7157
1176,463.7157
1177,463.7157
1178,463.7157
1179,463.7157
1180,463.7157
1181,463.7157
1182,463.7157
1183,463.7157
1184,463.7157
1185,463.7157
1186,463.7157
1187,463.7157
1188,463.7157
1189,463.7157
1190,463.7157
1191,463.7157
1192,463.7157
1193,463.7157
1194,463.7157
1195,463.7157
1196,463.7157
1197,463.7157
1198,463.7157
1199,463.7157
1200,463.7157
1201,463.7157
1202,463.7157
1203,463.7157
1204,463.7157
1205,463.7157
1206,463.7157
1207,463.7157
1208,463.7157
