generation,best_distance
1,1422.2191
2,1335.7768
3,1321.7838
4,1242.8290
5,1159.0299
6,1121.0954
7,1059.6934
8,1057.7312
9,1057.7312
10,1022.5681
11,1020.1842
12,988.3316
13,940.4048
14,940.4048
15,940.4048
16,940.4048
17,940.4048
18,911.0703
19,911.0703
20,905.9618
21,875.8601
22,875.8601
23,875.8601
24,875.8601
25,853.7517
26,853.7517
27,853.7517
28,840.9027
29,840.9027
30,840.9027
31,840.9027
32,825.9763
33,825.9763
34,797.3267
35,797.3267
36,791.2098
37,791.2098
38,776.4968
39,776.4968
40,776.4968
41,771.8721
42,768.9594
43,764.7083
44,758.0475
45,733.8418
46,733.8418
47,733.8418
48,733.8418
49,733.8418
50,733.8418
51,733.3518
52,714.3141
53,714.3141
54,711.7843
55,711.7843
56,706.4275
57,686.7043
58,686.7043
59,686.7043
60,686.7043
61,685.5356
62,683.8131
63,676.2868
64,674.7692
65,654.8674
66,654.8674
67,653.6987
68,645.8496
69,644.6809
70,637.3538
71,635.9855
72,634.8168
73,627.4897
74,626.3210
75,626.3210
76,623.6238
77,620.7170
78,620.7170
79,614.7175
80,614.7175
81,613.5187
82,611.0119
83,611.0119
84,609.8432
85,609.8432
86,609.8432
87,609.8432
88,607.1513
89,593.3924
90,593.3924
91,592.2237
92,592.2237
93,591.8772
94,584.3788
95,583.0939
96,572.8007
97,572.8007
98,572.8007
99,572.8007
100,563.6709
101,563.6709
102,563.6709
103,563.6709
104,563.6709
105,563.6709
106,556.0463
107,551.4220
108,551.4220
109,547.3909
110,547.3909
111,542.2803
112,542.2803
113,542.2803
114,542.2803
115,540.4459
116,540.0715
117,540.0715
118,530.3702
119,529.0606
120,529.0606
121,519.3592
122,519.3592
123,519.3592
124,519.3592
125,519.3592
126,519.3592
127,519.3592
128,516.3768
129,516.3768
130,516.3768
131,516.3768
132,505.0857
133,505.0857
134,505.0857
135,505.0857
136,505.0857
137,505.0857
138,505.0857
139,505.0857
140,505.0857
141,505.0857
142,505.0857
143,505.0857
144,505.0857
145,505.0857
146,505.0857
147,505.0857
148,505.0857
149,505.0857
150,505.0857
151,505.0857
152,505.0857
153,505.0857
154,500.8855
155,500.8855
156,500.8855
157,500.8855
158,500.8855
159,500.8855
160,500.8855
161,500.8855
162,500.8855
163,500.8855
164,500.8855
165,500.8855
166,500.8855
167,500.8855
168,500.8855
169,500.8855
170,500.8855
171,500.8855
172,494.3499
173,492.7183
174,492.7183
175,492.7183
176,492.7183
177,492.7183
178,492.7183
179,492.7183
180,492.7183
181,492.7183
182,492.7183
183,492.7183
184,492.7183
185,492.7183
186,492.7183
187,492.1274
188,492.1274
189,492.1274
190,491.5000
191,491.5000
192,491.5000
193,490.8576
194,490.8576
195,490.8576
196,490.8576
197,490.8576
198,490.8576
199,490.8576
200,484.9644
201,484.9644
202,484.9644
203,484.3016
204,483.3329
205,483.3329
206,483.3329
207,483.3329
208,483.3329
209,483.3329
210,483.3329
211,483.3329
212,483.3329
213,483.3329
214,483.3329
215,483.3329
216,483.3329
217,483.3329
218,483.3329
219,483.3329
220,483.3329
221,483.3329
222,483.3329
223,483.3329
224,483.3329
225,483.3329
226,483.3329
227,483.3329
228,483.3329
229,483.3329
230,476.3570
231,476.3570
232,476.3570
233,472.9313
234,472.9313
235,472.9313
236,472.9313
237,472.9313
238,472.9313
239,472.9313
240,472.9313
241,472.9313
242,472.9313
243,472.9313
244,472.9313
245,472.9313
246,472.9313
247,472.9313
248,472.9313
249,472.9313
250,472.6137
251,472.6137
252,472.6137
253,472.6137
254,472.6137
255,472.6137
256,472.6137
257,472.6137
258,472.6137
259,472.6137
260,472.6137
261,472.6137
262,467.4692
263,467.4692
264,467.4692
265,467.4692
266,467.4692
267,467.4692
268,466.1591
269,466.1591
270,466.1591
271,466.1591
272,466.1591
273,466.1591
274,466.1591
275,466.1591
276,466.1591
277,465.4136
278,465.4136
279,465.4136
280,465.4136
281,465.4136
282,465.4136
283,465.4136
284,465.4136
285,465.4136
286,465.4136
287,465.4136
288,465.4136
289,465.4136
290,461.6052
291,461.6052
292,461.6052
293,461.6052
294,461.6052
295,461.6052
296,461.6052
297,461.6052
298,461.6052
299,461.6052
300,452.4166
301,452.4166
302,452.4166
303,452.4166
304,452.4166
305,452.4166
306,452.4166
307,452.4166
308,452.4166
309,452.4166
310,452.4166
311,452.4166
312,452.4166
313,452.4166
314,452.4166
315,452.4166
316,452.4166
317,452.4166
318,452.4166
319,452.4166
320,452.4166
321,452.4166
322,452.4166
323,452.4166
324,452.4166
325,452.4166
326,452.4166
327,452.4166
328,452.4166
329,452.4166
330,452.4166
331,452.4166
332,452.4166
333,452.4166
334,452.4166
335,452.4166
336,452.4166
337,449.7427
338,449.7427
339,449.7427
340,449.7427
341,449.7427
342,449.1256
343,449.1256
344,449.1256
345,449.1256
346,449.1256
347,449.1256
348,449.1256
349,449.1256
350,449.1256
351,449.1256
352,449.1256
353,449.1256
354,449.1256
355,449.1256
356,449.1256
357,449.1256
358,449.1256
359,449.1256
360,449.1256
361,449.1256
362,449.1256
363,449.1256
364,449.1256
365,449.1256
366,449.1256
367,449.1256
368,449.1256
369,449.1256
370,449.1256
371,449.1256
372,449.1256
373,449.1256
374,449.1256
375,449.1256
376,449.1256
377,449.1256
378,449.1256
379,449.1256
380,449.1256
381,449.1256
382,449.1256
383,449.1256
384,449.1256
385,449.1256
386,449.1256
387,449.1256
388,449.1256
389,449.1256
390,449.1256
391,449.1256
392,449.1256
393,449.1256
394,449.1256
395,449.1256
396,449.1256
397,449.1256
398,449.1256
399,449.1256
400,449.1256
401,449.1256
402,449.1256
403,449.1256
404,449.1256
405,449.1256
406,449.1256
407,449.1256
408,449.1256
409,449.1256
410,449.1256
411,449.1256
412,449.1256
413,449.1256
414,449.1256
415,449.1256
416,449.1256
417,449.1256
418,449.1256
419,449.1256
420,449.1256
421,449.1256
422,449.1256
423,449.1256
424,449.1256
425,449.1256
426,449.1256
427,449.1256
428,449.1256
429,449.1256
430,449.1256
431,449.1256
432,449.1256
433,449.1256
434,449.1256
435,449.1256
436,449.1256
437,449.1256
438,449.1256
439,449.1256
440,449.1256
441,449.1256
442,449.1256
443,449.1256
444,449.1256
445,449.1256
446,449.1256
447,449.1256
448,449.1256
449,449.1256
450,449.1256
451,449.1256
452,449.1256
453,449.1256
454,449.1256
455,449.1256
456,449.1256
457,449.1256
458,449.1256
459,449.1256
460,449.1256
461,449.1256
462,449.1256
463,449.1256
464,449.1256
465,449.1256
466,449.1256
467,449.1256
468,449.1256
469,449.1256
470,449.1256
471,449.1256
472,449.1256
473,449.1256
474,449.1256
475,449.1256
476,449.1256
477,449.1256
478,449.1256
479,449.1256
480,449.1256
481,449.1256
482,449.1256
483,449.1256
484,449.1256
485,449.1256
486,449.1256
487,449.1256
488,449.1256
489,449.1256
490,449.1256
491,449.1256
492,449.1256
493,449.1256
494,449.1256
495,449.1256
496,449.1256
497,449.1256
498,449.1256
499,449.1256
500,449.1256
501,449.1256
502,449.1256
503,449.1256
504,449.1256
505,449.1256
506,449.1256
507,449.1256
508,449.1256
509,449.1256
510,449.1256
511,449.1256
512,449.1256
513,449.1256
514,449.1256
515,449.1256
516,449.1256
517,449.1256
518,449.1256
519,449.1256
520,449.1256
521,449.1256
522,449.1256
523,449.1256
524,449.1256
525,449.1256
526,449.1256
527,449.1256
528,449.1256
529,449.1256
530,449.1256
531,449.1256
532,449.1256
533,449.1256
534,449.1256
535,449.1256
536,449.1256
537,449.1256
538,449.1256
539,449.1256
540,449.1256
541,449.1256
542,449.1256
543,449.1256
544,449.1256
545,449.1256
546,449.1256
547,449.1256
548,449.1256
549,449.1256
550,449.1256
551,449.1256
552,449.1256
553,449.1256
554,449.1256
555,449.1256
556,449.1256
557,449.1256
558,449.1256
559,449.1256
560,449.1256
561,449.1256
562,449.1256
563,449.1256
564,449.1256
565,449.1256
566,449.1256
567,449.1256
568,449.1256
569,449.1256
570,449.1256
571,449.1256
572,449.1256
573,449.1256
574,449.1256
575,449.1256
576,449.1256
577,449.1256
578,449.1256
579,449.1256
580,449.1256
581,449.1256
582,449.1256
583,449.1256
584,449.1256
585,449.1256
586,449.1256
587,449.1256
588,449.1256
589,449.1256
590,449.1256
591,449.1256
592,449.1256
593,449.1256
594,449.1256
595,449.1256
596,449.1256
597,449.1256
598,449.1256
599,449.1256
600,449.1256
601,449.1256
602,449.1256
603,449.1256
604,449.1256
605,449.1256
606,449.1256
607,449.1256
608,449.1256
609,449.1256
610,449.1256
611,449.1256
612,449.1256
613,449.1256
614,449.1256
615,449.1256
616,449.1256
617,449.1256
618,449.1256
619,449.1256
620,449.1256
621,449.1256
622,449.1256
623,449.1256
624,449.1256
625,449.1256
626,449.1256
627,449.1256
628,449.1256
629,449.1256
630,449.1256
631,449.1256
632,449.1256
633,449.1256
634,449.1256
635,449.1256
636,449.1256
637,449.1256
638,449.1256
639,449.1256
640,449.1256
641,449.1256
642,449.1256
643,449.1256
644,449.1256
645,449.1256
646,449.1256
647,449.1256
648,449.1256
649,449.1256
650,449.1256
651,449.1256
652,449.1256
653,449.1256
654,449.1256
655,449.1256
656,449.1256
657,449.1256
658,449.1256
659,449.1256
660,449.1256
661,449.1256
662,449.1256
663,449.1256
664,449.1256
665,449.1256
666,449.1256
667,449.1256
668,449.1256
669,449.1256
670,449.1256
671,449.1256
672,449.1256
673,449.1256
674,449.1256
675,449.1256
676,449.1256
677,449.1256
678,449.1256
679,449.1256
680,449.1256
681,449.1256
682,449.1256
683,449.1256
684,449.1256
685,449.1256
686,449.1256
687,449.1256
688,449.1256
689,449.1256
690,449.1256
691,449.1256
692,449.1256
693,449.1256
694,449.1256
695,449.1256
696,449.1256
697,449.1256
698,449.1256
699,449.1256
700,449.1256
701,449.1256
702,449.1256
703,449.1256
704,449.1256
705,449.1256
706,449.1256
707,449.1256
708,449.1256
709,449.1256
710,449.1256
711,449.1256
712,449.1256
713,449.1256
714,449.1256
715,449.1256
716,449.1256
717,449.1256
718,449.1256
719,449.1256
720,449.1256
721,449.1256
722,449.1256
723,449.1256
724,449.1256
725,449.1256
726,449.1256
727,449.1256
728,449.1256
729,449.1256
730,449.1256
731,449.1256
732,449.1256
733,449.1256
734,449.1256
735,449.1256
736,449.1256
737,449.1256
738,449.1256
739,449.1256
740,449.1256
741,449.1256
742,449.1256
743,449.1256
744,449.1256
745,449.1256
746,449.1256
747,449.1256
748,449.1256
749,449.1256
750,449.1256
751,449.1256
752,449.1256
753,449.1256
754,449.1256
755,449.1256
756,449.1256
757,449.1256
758,449.1256
759,449.1256
760,449.1256
761,449.1256
762,449.1256
763,449.1256
764,449.1256
765,449.1256
766,449.1256
767,449.1256
768,449.1256
769,449.1256
770,449.1256
771,449.1256
772,449.1256
773,449.1256
774,449.1256
775,449.1256
776,449.1256
777,449.1256
778,449.1256
779,449.1256
780,449.1256
781,449.1256
782,449.1256
783,449.1256
784,449.1256
785,449.1256
786,449.1256
787,449.1256
788,449.1256
789,449.1256
790,449.1256
791,449.1256
792,449.1256
793,449.1256
794,449.1256
795,449.1256
796,449.1256
797,449.1256
798,449.1256
799,449.1256
800,449.1256
801,449.1256
802,449.1256
803,449.1256
804,449.1256
805,449.1256
806,449.1256
807,449.1256
808,449.1256
809,449.1256
810,449.1256
811,449.1256
812,449.1256
813,449.1256
814,449.1256
815,449.1256
