generation,best_distance
1,1326.1865
2,1256.3965
3,1199.4653
4,1140.3422
5,1084.6776
6,1081.6767
7,1053.1771
8,1014.9742
9,992.3227
10,983.9506
11,964.7949
12,952.1335
13,934.7616
14,896.5054
15,874.5495
16,837.5954
17,812.3567
18,812.3567
19,812.3567
20,806.0033
21,787.4355
22,787.4355
23,787.4355
24,787.4355
25,786.5238
26,786.5238
27,786.5238
28,786.5238
29,786.5238
30,786.5238
31,776.0711
32,771.7213
33,771.7213
34,771.7213
35,757.8208
36,757.8208
37,757.8208
38,757.8208
39,737.9155
40,734.3077
41,712.6108
42,699.1003
43,699.1003
44,699.1003
45,680.9357
46,661.0941
47,636.4041
48,636.4041
49,636.4041
50,636.4041
51,636.4041
52,636.4041
53,636.4041
54,631.8234
55,628.7946
56,616.9488
57,594.5643
58,588.6532
59,588.6532
60,588.6532
61,588.6532
62,588.6532
63,587.8965
64,586.5841
65,569.6476
66,569.6476
67,569.6476
68,569.6476
69,569.6476
70,569.6476
71,569.6476
72,569.6476
73,569.6476
74,569.6476
75,569.6476
76,569.6476
77,569.6476
78,569.6476
79,569.6476
80,569.6476
81,569.6476
82,569.6476
83,569.6476
84,569.6476
85,569.6476
86,569.6476
87,569.6476
88,569.6476
89,569.6476
90,568.0567
91,568.0567
92,568.0567
93,568.0567
94,568.0567
95,557.7243
96,557.7243
97,557.7243
98,557.7243
99,557.7243
100,557.7243
101,557.7243
102,557.7243
103,557.7243
104,552.0366
105,552.0366
106,552.0366
107,552.0366
108,547.8119
109,547.8119
110,547.8119
111,547.8119
112,547.8119
113,547.8119
114,547.8119
115,547.8119
116,547.8119
117,547.8119
118,547.8119
119,540.5579
120,540.5579
121,540.5579
122,540.5579
123,540.5579
124,540.5579
125,540.5579
126,530.7756
127,530.7756
128,530.7756
129,530.7756
130,530.7756
131,530.7756
132,530.7756
133,530.7756
134,530.7756
135,530.7756
136,530.7756
137,530.7756
138,530.5649
139,530.5649
140,530.5649
141,530.5649
142,530.5649
143,530.5649
144,530.5649
145,530.5649
146,530.5649
147,530.5649
148,530.5649
149,530.5649
150,530.5649
151,530.5649
152,530.5649
153,530.5649
154,530.5649
155,528.6127
156,528.6127
157,514.5772
158,514.5772
159,514.5772
160,514.5772
161,514.5772
162,514.5772
163,514.5772
164,514.5772
165,514.5772
166,514.5772
167,514.5772
168,514.5772
169,514.5772
170,514.5772
171,514.5772
172,514.5772
173,514.5772
174,514.5772
175,514.5772
176,514.5772
177,514.5772
178,514.5772
179,514.5772
180,514.5772
181,514.5772
182,514.5772
183,514.5772
184,514.5772
185,514.5772
186,514.5772
187,514.5772
188,514.5772
189,514.5772
190,514.5772
191,514.5772
192,514.5772
193,514.5772
194,508.1876
195,508.1876
196,508.1876
197,508.1876
198,508.1876
199,508.1876
200,508.1876
201,508.1876
202,505.1641
203,505.1641
204,505.1641
205,505.1641
206,505.1641
207,505.1641
208,505.1641
209,505.1641
210,505.1641
211,505.1641
212,505.1641
213,505.1641
214,505.1641
215,505.1641
216,505.1641
217,505.1641
218,505.1641
219,505.1641
220,505.1641
221,505.1641
222,505.1641
223,505.1641
224,505.1641
225,505.1641
226,505.1641
227,505.1641
228,505.1641
229,505.1641
230,505.1641
231,505.1641
232,505.1641
233,505.1641
234,505.1641
235,505.1641
236,505.1641
237,505.1641
238,505.1641
239,505.1641
240,505.1641
241,505.1641
242,505.1641
243,505.1641
244,505.1641
245,505.1641
246,505.1641
247,505.1641
248,505.1641
249,505.1641
250,505.1641
251,503.6390
252,503.6390
253,503.6390
254,503.6390
255,503.6390
256,498.3415
257,498.3415
258,498.3415
259,498.3415
260,498.3415
261,498.3415
262,497.7668
263,497.7668
264,494.6681
265,494.6681
266,494.6681
267,494.6681
268,494.6681
269,494.6681
270,494.6681
271,494.6681
272,494.6681
273,494.6681
274,494.6681
275,494.6681
276,494.6681
277,494.6681
278,494.6681
279,494.6681
280,494.6681
281,494.6681
282,494.6681
283,494.6681
284,494.6681
285,494.6681
286,494.6681
287,494.6681
288,494.6681
289,494.6681
290,494.6681
291,494.6681
292,494.6681
293,494.6681
294,494.6681
295,494.6681
296,494.6681
297,494.6681
298,494.6681
299,494.6681
300,494.6681
301,494.6681
302,494.6681
303,494.6681
304,494.6681
305,494.6681
306,494.6681
307,494.6681
308,494.6681
309,494.6681
310,494.6681
311,494.6681
312,494.6681
313,494.6681
314,494.6681
315,494.6681
316,494.6681
317,494.6681
318,494.6681
319,494.6681
320,494.6681
321,494.6681
322,494.6681
323,494.6681
324,494.6681
325,494.6681
326,494.6681
327,494.6681
328,494.6681
329,494.6681
330,494.6681
331,494.6681
332,494.6681
333,494.6681
334,494.6681
335,494.6681
336,494.6681
337,494.6681
338,494.6681
339,494.6681
340,494.6681
341,494.6681
342,494.6681
343,494.6681
344,494.6681
345,494.6681
346,494.6681
347,494.6681
348,494.6681
349,494.6681
350,494.6681
351,494.6681
352,494.6681
353,494.6681
354,494.6681
355,490.3641
356,490.3641
357,490.3641
358,490.3641
359,490.3641
360,490.3641
361,490.3641
362,490.3641
363,490.3641
364,490.3641
365,490.3641
366,490.3641
367,490.3641
368,490.3641
369,484.2521
370,484.2521
371,484.2521
372,484.2521
373,484.2521
374,484.2521
375,484.2521
376,484.2521
377,484.2521
378,484.2521
379,484.2521
380,480.3706
381,480.3706
382,480.3706
383,480.3706
384,480.3706
385,480.3706
386,480.3706
387,480.3706
388,480.3706
389,480.3706
390,480.3706
391,480.3706
392,480.3706
393,480.3706
394,480.3706
395,480.3706
396,480.3706
397,480.3706
398,480.3706
399,480.3706
400,480.3706
401,480.3706
402,480.3706
403,469.4522
404,469.4522
405,469.4522
406,469.4522
407,469.4522
408,469.4522
409,469.4522
410,469.4522
411,469.4522
412,469.4522
413,469.4522
414,469.4522
415,469.4522
