generation,best_distance
1,1326.4520
2,1287.3247
3,1259.7398
4,1212.8243
5,1182.0880
6,1174.0297
7,1118.5879
8,1100.8798
9,1080.7580
10,994.0018
11,994.0018
12,982.8012
13,975.5607
14,943.2194
15,909.2575
16,909.2242
17,837.6760
18,837.6760
19,832.0478
20,832.0478
21,789.0608
22,789.0608
23,789.0608
24,789.0608
25,789.0608
26,789.0608
27,787.5154
28,787.5154
29,757.1525
30,757.1525
31,757.1525
32,747.3114
33,747.3114
34,747.3114
35,747.3114
36,732.8552
37,723.5372
38,723.5372
39,723.5372
40,723.5372
41,723.5372
42,723.5372
43,720.5608
44,709.6779
45,709.6779
46,696.3399
47,696.3399
48,653.3185
49,653.3185
50,653.3185
51,653.3185
52,653.3185
53,638.7777
54,638.7777
55,630.2626
56,617.2240
57,617.2240
58,617.2240
59,617.2240
60,617.2240
61,608.4548
62,608.4548
63,606.2260
64,596.7283
65,596.7283
66,594.9514
67,583.9022
68,568.6594
69,568.6594
70,568.6594
71,568.6594
72,563.8976
73,563.8976
74,561.6864
75,546.0076
76,546.0076
77,546.0076
78,533.3277
79,533.3277
80,533.3277
81,533.3277
82,533.3277
83,531.9383
84,531.9383
85,530.4107
86,526.3135
87,518.9876
88,518.9584
89,512.0026
90,507.7517
91,507.2638
92,500.9587
93,496.2199
94,491.9690
95,491.9690
96,489.9056
97,489.9056
98,482.8895
99,482.8895
100,475.4518
101,475.4518
102,475.4518
103,475.4518
104,475.0852
105,475.0852
106,475.0852
107,473.8756
108,473.8756
109,473.8756
110,472.3387
111,472.3387
112,472.3387
113,472.3387
114,472.3387
115,465.0737
116,465.0737
117,465.0737
118,465.0737
119,465.0737
120,465.0737
121,465.0737
122,465.0737
123,465.0737
124,465.0737
125,465.0737
126,465.0737
127,465.0737
128,465.0737
129,465.0737
130,465.0737
131,465.0737
132,465.0737
133,461.4873
134,461.4873
135,461.4873
136,461.4873
137,461.4873
138,459.1579
139,459.1579
140,459.1579
141,453.5732
142,452.6855
143,452.6855
144,452.6855
145,452.2798
146,452.2798
147,449.7098
148,449.7098
149,449.7098
150,449.7098
151,447.3295
152,447.3295
153,447.3295
154,447.3295
155,447.3295
156,447.3295
157,447.3295
158,447.3295
159,447.3295
160,447.3295
161,447.3295
162,444.2697
163,444.2697
164,444.2697
165,444.2697
166,444.2697
167,444.2697
168,440.8186
169,440.8186
170,440.8186
171,440.8186
172,440.8186
173,440.8186
174,440.8186
175,440.8186
176,440.8186
177,440.8186
178,440.8186
179,440.8186
180,440.8186
181,440.8186
182,440.8186
183,440.8186
184,440.8012
185,440.8012
186,440.8012
187,440.8012
188,440.8012
189,440.8012
190,440.8012
191,440.8012
192,440.8012
193,440.8012
194,440.8012
195,440.8012
196,440.8012
197,440.8012
198,440.8012
199,440.8012
200,440.8012
201,440.8012
202,440.8012
203,440.8012
204,440.8012
205,440.8012
206,440.8012
207,440.8012
208,440.8012
209,440.8012
210,440.8012
211,440.8012
212,440.8012
213,440.8012
214,440.8012
215,440.8012
216,440.8012
217,440.8012
218,440.8012
219,440.8012
220,440.8012
221,440.8012
222,440.8012
223,440.8012
224,440.8012
225,440.8012
226,440.8012
227,440.8012
228,440.8012
229,440.8012
230,440.8012
231,440.8012
232,440.8012
233,440.8012
234,440.8012
235,440.8012
236,440.8012
237,440.8012
238,440.8012
239,440.8012
240,440.8012
241,440.8012
242,440.8012
243,440.8012
244,440.8012
245,440.8012
246,440.8012
247,440.8012
248,440.8012
249,440.8012
250,440.8012
251,440.8012
252,440.8012
253,440.8012
254,440.8012
255,440.8012
256,440.8012
257,440.8012
258,440.8012
259,440.8012
260,440.8012
261,440.8012
262,440.8012
263,440.8012
264,440.8012
265,440.8012
266,440.8012
267,440.8012
268,440.8012
269,440.8012
270,440.8012
271,440.8012
272,440.8012
273,440.8012
274,440.8012
275,440.8012
276,440.8012
277,440.8012
278,440.8012
279,440.8012
280,440.8012
281,440.8012
282,440.8012
283,440.8012
284,440.8012
285,440.8012
286,440.8012
287,440.8012
288,440.8012
289,440.8012
290,440.8012
291,440.8012
292,440.8012
293,440.8012
294,440.8012
295,440.8012
296,440.8012
297,440.8012
298,440.8012
299,440.8012
300,440.8012
301,440.8012
302,440.8012
303,440.8012
304,440.8012
305,440.8012
306,440.8012
307,440.8012
308,440.8012
309,440.8012
310,440.8012
311,440.8012
312,440.8012
313,440.8012
314,440.8012
315,440.8012
316,440.8012
317,440.8012
318,440.8012
319,440.8012
320,440.8012
321,440.8012
322,440.8012
323,440.8012
324,440.8012
325,440.8012
326,440.8012
327,440.8012
328,440.8012
329,440.8012
330,440.8012
331,440.8012
332,440.8012
333,440.8012
334,440.8012
335,440.8012
336,440.8012
337,440.8012
338,440.8012
339,440.8012
340,440.8012
341,440.8012
342,440.8012
343,440.8012
344,440.8012
345,440.8012
346,440.8012
347,440.8012
348,440.8012
349,440.8012
350,440.8012
351,440.8012
352,440.8012
353,440.8012
354,440.8012
355,440.8012
356,440.8012
357,440.8012
358,440.8012
359,440.8012
360,440.8012
361,440.8012
