generation,best_distance
1,1379.9501
2,1327.2517
3,1264.2426
4,1207.4992
5,1191.7796
6,1127.3185
7,1127.3185
8,1057.3865
9,1041.0236
10,1041.0236
11,1028.2353
12,1017.1743
13,991.4545
14,973.0217
15,973.0217
16,949.3924
17,931.9531
18,931.9531
19,931.9531
20,924.0723
21,924.0723
22,889.8665
23,889.8665
24,822.3101
25,822.3101
26,806.3364
27,806.3364
28,793.1740
29,774.8541
30,774.8541
31,774.8541
32,771.2048
33,771.2048
34,771.2048
35,761.8197
36,749.1563
37,749.1563
38,749.1563
39,749.1563
40,749.1563
41,745.8549
42,723.2363
43,711.9700
44,683.5158
45,683.5158
46,683.5158
47,679.1523
48,679.1523
49,679.1523
50,679.1523
51,679.1523
52,679.1523
53,679.1523
54,654.5407
55,654.5407
56,654.5407
57,653.0949
58,643.2214
59,637.7557
60,637.7557
61,623.8876
62,623.8876
63,623.8876
64,623.8876
65,616.9198
66,616.9198
67,616.9198
68,616.9198
69,609.9363
70,609.9363
71,609.9363
72,606.9276
73,606.9276
74,606.9276
75,602.0187
76,599.0100
77,596.9295
78,593.9208
79,592.2027
80,584.4987
81,584.4987
82,584.4987
83,577.8387
84,577.8387
85,574.7563
86,574.7563
87,553.5525
88,553.5525
89,549.0938
90,549.0938
91,549.0938
92,549.0938
93,549.0938
94,545.9907
95,543.5533
96,543.5533
97,543.5533
98,532.3334
99,532.3334
100,532.3334
101,532.3334
102,532.3334
103,532.3334
104,532.3334
105,532.3334
106,532.3334
107,532.3334
108,528.2775
109,528.2775
110,528.2775
111,527.1098
112,527.1098
113,525.0429
114,525.0429
115,525.0429
116,525.0429
117,525.0429
118,525.0429
119,525.0429
120,525.0429
121,525.0429
122,525.0429
123,525.0429
124,525.0429
125,525.0429
126,524.7684
127,524.7684
128,517.9573
129,514.1087
130,514.1087
131,514.1087
132,512.9592
133,512.9592
134,512.9592
135,505.1800
136,505.1800
137,505.1800
138,504.4726
139,504.4726
140,496.6934
141,496.6934
142,496.6934
143,496.6934
144,496.6934
145,496.6934
146,494.3331
147,494.3331
148,494.3331
149,494.3331
150,494.3331
151,494.3331
152,494.3331
153,494.3331
154,494.3331
155,494.3331
156,494.3331
157,494.3331
158,494.3331
159,494.3331
160,484.5563
161,484.5563
162,484.5563
163,484.5563
164,484.5563
165,484.5563
166,484.5563
167,484.5563
168,484.5563
169,484.5563
170,484.5563
171,484.5563
172,484.5563
173,484.5563
174,484.5563
175,484.5563
176,484.5563
177,484.5563
178,484.5563
179,483.6909
180,483.6909
181,483.6909
182,483.6909
183,483.6909
184,483.6909
185,483.6909
186,483.6909
187,483.6909
188,483.6909
189,483.6909
190,483.6909
191,483.6909
192,483.6909
193,483.6909
194,483.6909
195,483.6909
196,483.6909
197,483.6909
198,483.6909
199,483.6909
200,483.6909
201,483.6909
202,483.6909
203,483.6909
204,475.8812
205,475.8812
206,475.8812
207,475.8812
208,475.8812
209,475.8812
210,475.8812
211,475.8812
212,475.8812
213,475.8812
214,475.8812
215,475.8812
216,475.8812
217,475.8812
218,475.8812
219,475.8812
220,475.8812
221,475.8812
222,475.8812
223,473.1783
224,473.1783
225,473.1783
226,468.5979
227,468.4908
228,468.4908
229,468.4908
230,468.4908
231,468.4908
232,468.4908
233,468.4908
234,468.4908
235,468.4908
236,468.4908
237,468.4908
238,468.4908
239,468.4908
240,468.4908
241,468.4908
242,468.4908
243,468.4908
244,468.4908
245,468.4908
246,467.5141
247,467.5141
248,467.5141
249,467.5141
250,467.5141
251,467.5141
252,467.5141
253,467.5141
254,467.5141
255,467.5141
256,467.5141
257,467.5141
258,467.5141
259,467.5141
260,467.5141
261,467.5141
262,467.5141
263,467.5141
264,467.5141
265,467.5141
266,467.5141
267,467.5141
268,467.5141
269,467.5141
270,467.5141
271,467.5141
272,467.5141
273,467.5141
274,467.5141
275,467.5141
276,467.5141
277,467.5141
278,467.5141
279,467.5141
280,467.5141
281,467.5141
282,467.5141
283,467.5141
284,465.7635
285,465.7635
286,465.7635
287,465.7635
288,465.7635
